Date;Rank;Opponent;Coin;Result;Turn;LivingMana;Finja;Bittertide;Concede;Disconnect
2017/05/07;9;Quest Taunt Warrior;No;Lose;8;No;No;Yes;Yes;No
2017/05/08;10;Murloc Paladin;Yes;Lose;7;No;No;Yes;Yes;No
